n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,9,0.1,1.0,0.9289377481266166,0.5355161969469594,UP,0.647395133972168,0.35260486602783203
50,5,0.2,0.8,0.9296193843486478,0.5245812650824276,UP,0.8480774760246277,0.15192252397537231
200,3,0.1,0.5,0.9326650837989799,0.542142845363545,UP,0.8553223609924316,0.14467763900756836
300,5,0.03,1.0,0.9329938897766707,0.5108634707036726,UP,0.8739352226257324,0.12606477737426758
300,9,0.03,0.8,0.933530648377094,0.5243009174513652,UP,0.8363726139068604,0.16362738609313965
150,3,0.1,1.0,0.9340827736689826,0.5370017645409719,UP,0.9223415851593018,0.07765841484069824
200,5,0.05,1.0,0.9362564853335918,0.5156018953698664,UP,0.8848499655723572,0.11515003442764282
100,5,0.1,0.8,0.9364847674138158,0.5251721939126085,UP,0.8924626708030701,0.10753732919692993
250,5,0.05,0.8,0.9372762291010712,0.5143966754069164,UP,0.8735246062278748,0.12647539377212524
200,9,0.03,1.0,0.9381002308948604,0.5243600103343832,UP,0.7797046899795532,0.22029531002044678
200,7,0.03,1.0,0.9381288832949823,0.5269119983289082,UP,0.9112801551818848,0.08871984481811523
200,9,0.1,0.5,0.9387948288779463,0.5443031712264385,UP,0.8145925998687744,0.18540740013122559
100,7,0.05,1.0,0.9392799483457434,0.5049157033152482,UP,0.843025267124176,0.15697473287582397
50,7,0.1,1.0,0.9402864950672011,0.5186513629842181,UP,0.7461034059524536,0.2538965940475464
150,5,0.1,0.5,0.9418390368223681,0.5172083972361022,UP,0.9248301386833191,0.07516986131668091
100,3,0.2,0.8,0.942528008643015,0.5342463870886173,UP,0.9114874601364136,0.08851253986358643
50,5,0.2,1.0,0.9425891502696327,0.5369976417816916,UP,0.9434571862220764,0.056542813777923584
100,5,0.1,1.0,0.9453015247189334,0.5226504394861392,UP,0.8517742156982422,0.1482257843017578
200,9,0.05,0.8,0.9484080136461417,0.5167232858941165,UP,0.773593008518219,0.226406991481781
250,3,0.1,0.5,0.9494892363041942,0.5456444422456396,UP,0.886862576007843,0.11313742399215698
200,7,0.05,0.8,0.9504819177740403,0.5286820363132638,UP,0.8588300347328186,0.1411699652671814
100,7,0.1,0.8,0.9521483015410249,0.5138442256633519,UP,0.8947051763534546,0.10529482364654541
50,9,0.2,0.5,0.9605579205827678,0.5284800211085275,UP,0.7789226174354553,0.22107738256454468
200,3,0.1,0.8,0.9609089201156005,0.5273984839239874,UP,0.8303595781326294,0.1696404218673706
150,7,0.1,0.5,0.96317589583997,0.5220059147853142,UP,0.9234294891357422,0.07657051086425781
250,9,0.1,0.5,0.9644172781382903,0.5481318403447726,UP,0.8186904788017273,0.1813095211982727
300,5,0.05,0.8,0.9656560889496287,0.519862079959542,UP,0.882236123085022,0.11776387691497803
250,5,0.05,1.0,0.9661193990800582,0.5320626989231353,UP,0.9210534691810608,0.07894653081893921
250,7,0.03,1.0,0.9670119954971913,0.5264021504312406,UP,0.923791229724884,0.07620877027511597
150,9,0.05,1.0,0.9680523622338039,0.5212267132813316,UP,0.8840658068656921,0.11593419313430786
250,9,0.03,1.0,0.9708261798551053,0.519728777409478,UP,0.8188744783401489,0.18112552165985107
150,5,0.1,0.8,0.9765239114997515,0.5311584403876494,UP,0.8779571056365967,0.12204289436340332
50,7,0.2,0.5,0.9792065164106235,0.4977860782664621,UP,0.8528948426246643,0.1471051573753357
250,9,0.05,0.8,0.9792301310528472,0.5312738776474986,UP,0.8287163972854614,0.17128360271453857
250,7,0.05,0.8,0.9826382610937342,0.5358968650538433,UP,0.8740801215171814,0.1259198784828186
100,3,0.2,0.5,0.9829556762443667,0.5351025467658328,UP,0.9215852618217468,0.07841473817825317
300,9,0.1,0.5,0.986796432328266,0.5462161315325121,UP,0.8425818681716919,0.1574181318283081
100,9,0.1,0.8,0.9882380430963416,0.5186953390832083,UP,0.7903450727462769,0.20965492725372314
